topic,max_traffic,competitors_covering,urls
"Udyam Registration Guide for Business Loans",35631,"IIFL","https://www.iifl.com/blogs/business-loan/what-is-udyam-registration-and-its-benefits"
"How Many Grams in 1 Tola of Gold",14720,"IIFL, Capriloans","https://www.iifl.com/blogs/gold-loan/how-many-grams-is-1-tola-of-gold, https://www.capriloans.in/blogs/how-many-grams-are-in-1-tola-of-gold-and-its-value-in-india"
"What is Business - Comprehensive Guide",13889,"IIFL","https://www.iifl.com/blogs/business-loan/what-is-business"
"Best Way to Invest Rs 10 Lakhs",5404,"IIFL","https://www.iifl.com/blogs/other/what-ideal-way-invest-rs-10-lakhs"
"How to Start a Hardware Shop Business",5299,"IIFL","https://www.iifl.com/blogs/business-loan/how-to-start-a-hardware-shop-business"
"How to Check Purity of 20 Carat Gold",4048,"IIFL","https://www.iifl.com/blogs/gold-loan/how-to-check-purity-of-20-carat-gold"
"Gold Price History in India",4008,"IIFL","https://www.iifl.com/blogs/gold-loan/gold-price-history-in-india"
"What is 24K and 22K Gold",3850,"IIFL, Capriloans","https://www.iifl.com/blogs/gold-loan/what-is-24k-and-22k-gold, https://www.capriloans.in/blogs/key-differences-between-24k-and-22k-gold"
"Director Identification Number (DIN)",3022,"IIFL","https://www.iifl.com/blogs/business-loan/director-identification-number"
"How to Check Hallmark on Gold",2565,"IIFL","https://www.iifl.com/blogs/gold-loan/how-to-check-hallmark-on-gold"
"How to Calculate Gold Loan Eligibility",1045,"Manappuram","https://www.manappuram.com/blogs/how-to-calculate-gold-loan-eligibility"
"Minimum Weight Required for Gold Loan",1016,"Manappuram","https://www.manappuram.com/blogs/minimum-weight-required-for-gold-loan"
"RBI Gold Loan Guidelines",782,"Manappuram","https://www.manappuram.com/blogs/rbi-gold-loan-guidelines"
"How Gold Prices Affect Gold Loan",356,"Manappuram","https://www.manappuram.com/blogs/how-gold-prices-affect-gold-loan"
"NBFC Gold Loans vs Bank Gold Loans",349,"Manappuram","https://www.manappuram.com/blogs/nbfc-gold-loans-vs-bank-gold-loans"
"Instant Gold Loan Complete Guide",330,"Manappuram","https://www.manappuram.com/blogs/instant-gold-loan-complete-guide"
"How to Transfer Gold Loan to Another Lender",268,"Manappuram","https://www.manappuram.com/blogs/how-to-transfer-your-gold-loan-to-another-lender"
"Typical Duration of a Gold Loan",227,"Manappuram","https://www.manappuram.com/blogs/typical-duration-of-a-gold-loan"
"Can a Home Loan be Transferred",77,"Capriloans","https://www.capriloans.in/blogs/can-a-home-loan-be-transferred-from-one-individual-to-another"
"Gold Loan - Smart Way to Keep Gold Safe",8,"Capriloans","https://www.capriloans.in/blogs/gold-loan-a-smart-way-to-keep-your-gold-safe"
