rank,topic,url,traffic,keywords
1,"SBI Gold Loan Per Gram Rate","https://indiagold.co/blogs/sbi-gold-loan-per-gram-rate",2588,219
2,"Canara Bank Gold Loan Per Gram","https://indiagold.co/blogs/canara-bank-gold-loan-per-gram",1745,84
3,"IIFL Gold Loan Interest Rate","https://indiagold.co/blogs/iifl-gold-loan-interest-rate",1044,24
4,"IOB Gold Loan Interest Rate","https://indiagold.co/blogs/iob-gold-loan-interest-rate",456,47
5,"Hallmark Gold - Pay for What It's Worth","https://indiagold.co/blogs/hallmark-gold-pay-for-what-it-s-worth",370,40
6,"How to Start Chai Sutta Bar Franchise","https://indiagold.co/blogs/complete-guide-on-how-to-start-a-chai-sutta-bar-franchise",298,32
7,"IDBI Bank Gold Loan Interest Rate","https://indiagold.co/blogs/idbi-bank-gold-loan-interest-rate",234,25
8,"Loan for Petrol Pump Business","https://indiagold.co/blogs/how-to-get-a-loan-to-start-your-own-petrol-pump-business",135,13
9,"How to Check Gold Purity","https://indiagold.co/blogs/how-to-check-gold-purity-simple-methods-to-know-what-you-re-buying",111,36
10,"What is 916 Gold","https://indiagold.co/blogs/what-is-916-gold",87,29
11,"Sovereign Gold Bond Calculator","https://indiagold.co/blogs/sovereign-gold-bond-calculator",76,12
12,"IIFL vs Shriram vs Capri Loans","https://indiagold.co/blogs/iifl-vs-shriram-vs-capri-loans",43,1
13,"GST on Gold","https://indiagold.co/blogs/gst-on-gold",29,90
14,"Bank Comparison - BOB vs Union Bank vs SBI","https://indiagold.co/blogs/bank-of-baroda-vs-union-bank-vs-sbi",21,7
15,"Gold Loan EMI or Overdraft","https://indiagold.co/blogs/should-you-opt-for-a-gold-loan-with-emi-or-overdraft",16,2
16,"Federal Bank Gold Loan Interest Rate","https://indiagold.co/blogs/federal-bank-gold-loan-interest-rate",16,26
17,"When and Why Gold Rates Decrease","https://indiagold.co/blogs/when-and-why-do-gold-rates-decrease",15,4
18,"Low Investment Export Business","https://indiagold.co/blogs/how-to-set-up-a-low-investment-export-business",8,2
19,"Gold SIP Calculator","https://indiagold.co/blogs/gold-sip-calculator",7,6
