Rank,Name,URL,Category,Status
1,Sensor Tower,https://sensortower.com,App Intelligence,Verified
2,Data.ai,https://data.ai,Enterprise Analytics,Access Restricted
3,AppTweak,https://apptweak.com,ASO Platform,Verified
4,Mobile Action,https://mobileaction.co,ASO/User Acquisition,Verified
5,AppFollow,https://appfollow.io,ASO/Review Management,Verified
6,AppRadar,https://appradar.com,ASO Tools,Verified
7,SimilarWeb,https://similarweb.com,Digital Intelligence,Verified
8,StoreMaven,https://storemaven.com,ASO A/B Testing,Verified
9,SplitMetrics,https://splitmetrics.com,ASO/Apple Ads,Verified
10,Gummicube,https://gummicube.com,ASO Services,Verified
11,ASODesk,https://asodesk.com,ASO Platform,Verified
12,42matters,https://42matters.com,App Intelligence,Verified
13,AppFigures,https://appfigures.com,App Analytics,Verified
14,AppsFlyer,https://appsflyer.com,Attribution/Analytics,Verified
15,Branch,https://branch.io,Attribution/Deep Linking,Verified
16,Kochava,https://kochava.com,Attribution/Analytics,Verified
17,Mixpanel,https://mixpanel.com,Product Analytics,Verified
18,Amplitude,https://amplitude.com,Product Analytics,Verified
19,Phiture,https://phiture.com,ASO Consultancy,Verified
20,Liftoff,https://liftoff.io,Mobile Growth Platform,Verified
21,TUNE,https://tune.com,Partner Marketing,Verified
22,Apptopia,http://apptopia.com,App Intelligence,Redirect Issues
23,AppAnnie,https://appannie.com,Legacy (→Data.ai),Access Restricted
24,AppVector.io,https://appvector.io,ASO Tools,Verified
